STATION,STATION_NAME,DATE,MNTM
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19230701,200
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19230801,199
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19230901,175
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19231001,109
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19231101,46
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19231201,23
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19240101,-26
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19240201,-57
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19240301,1
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19240401,65
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19240501,120
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19240601,178
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19240701,220
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19240801,211
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19240901,163
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19241001,112
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19241101,56
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19241201,-34
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19250101,-53
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19250201,10
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19250301,38
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19250401,82
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19250501,126
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19250601,209
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19250701,214
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19250801,212
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19250901,171
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19251001,86
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19251101,51
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19251201,-9
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19260101,-22
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19260201,-41
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19260301,-9
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19260401,53
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19260501,120
GHCND:USC00190736,EAST MILTON BLUE HILL OBSERVATORY MA US,19260601,162
